30 20
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 7 4
1 7 4
3 7 4
6 6 1
6 6 1
6 6 1
6 6 1
6 6 1
6 6 1
6 6 1
6 6 1
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 5 11
0 5 11
0 5 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
