30 20
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
0 0 11
